Term,Merriam Webster,Oxford Dictionary,Brave New Words
interplanetary,1691,X,1927
intersystem,1889,X,1949
interworld,X,X,1942
intra-system,X,X,1968
ion drive,X,1940s; earliest use found in Astounding Science Fiction,1947
ish,X,1980s: from -ish,1939
jack in,X,X,1970
Jovian,1530,X,1871
jump,1530,early 16th century (in the sense ‘be moved or thrown with a sudden jerk’): probably imitative of the sound of feet coming into contact with the ground,1952
jump drive,X,X,1963
jump engine,X,X,1981
jump gate,X,X,1995
jump point,X,X,1964
jump ship,X,X,1957
jump space,X,X,1961
Jupiterian,X,X,1941
Klingon,X,1960s: invented name,1967
K/S,X,X,1977
landing cradle,X,X,1942
laser gun,X,X,1964
lay story,X,X,1976
lettercol,X,X,1958
letterhack,X,X,1946
letterzine,X,X,1950
levitator,X,X,1946
lifeboat,1797,X,1934
lifepod,X,X,1976
lifeship,X,X,1940
light,before 12th century,Old English lēoht,1934
light sail,X,X,1963
light-speed,1914,early 20th century; earliest use found in The Frederick Post. From light + speed,1929
little green man,X,X,1946
loc,X,X,1961
Luna,1869,X,1931
Luna City,X,X,1939
Lunarian,X,X,1708
mad scientist,X,late 19th century; earliest use found in The Newark Advocate,1908
mag-,1742,X,1944
mainstream,circa 1585,X,1953
Martian,1880,"late Middle English (in the senses ‘subject to Mars's influence’ and ‘martial’): from Latin Mars, Mart- (see Mars) + -ian",1874
Mary Sue,X,"1970s: from the name of a character in A Trekkie's Tale (1973), a parody fan fiction story based on the US television series Star Trek",1973
matrix,1555,late Middle English (in the sense ‘womb’): from Latin,1976
matter transmission,X,1930s,1945
matter transmitter,X,1930s,1931
matter transmitting,X,X,1925
meat puppet,X,X,1984
mech,X,X,1938
megayear,X,X,1935
Mercurian,X,X,1698
microbook,X,X,1943
military science fiction,X,X,1979
mindlink,X,X,1970
mind-meld,X,X,1976
mind shield,X,X,1940
monster movie,X,1970s; earliest use found in Public Opinion Quarterly,1932
moon base,X,X,1948
moonsuit,1980,X,1947
morph,1947,1990s: element from metamorphosis,1982
mosaic novel,X,X,1986
motherworld,X,X,1956
multigeneration ship,X,X,1962
multiversal,X,X,1963
multiverse,1963,X,1963
mundane,15th century,late Middle English (in mundane (sense 2)): from Old French mondain,1944
mundania,X,X,1965
